[05-Mar-2014 13:44:18 Europe/Moscow] PHP Parse error:  syntax error, unexpected T_VARIABLE in C:\MyIISServices\mantis\config_inc.php on line 17
[14-Mar-2014 15:23:15 Europe/Moscow] PHP Fatal error:  Call to undefined function bug_is_overdue_class() in C:\MyIISServices\mantis\bug_update_advanced_page.php on line 287
[14-Mar-2014 15:23:38 Europe/Moscow] PHP Fatal error:  Call to undefined function bug_is_overdue_class() in C:\MyIISServices\mantis\bug_update_advanced_page.php on line 287
[14-Mar-2014 15:27:45 Europe/Moscow] PHP Fatal error:  Call to undefined function bug_is_overdue_class() in C:\MyIISServices\mantis\bug_update_advanced_page.php on line 287
[14-Mar-2014 15:28:08 Europe/Moscow] PHP Fatal error:  Call to undefined function bug_is_overdue_class() in C:\MyIISServices\mantis\bug_update_advanced_page.php on line 287
[14-Mar-2014 15:29:13 Europe/Moscow] PHP Fatal error:  Call to undefined function bug_is_overdue_class() in C:\MyIISServices\mantis\bug_update_advanced_page.php on line 287
[17-Mar-2014 12:08:11 Europe/Moscow] PHP Fatal error:  Cannot redeclare bug_is_overdue_get_class() (previously declared in C:\MyIISServices\mantis\core\bug_api.php:878) in C:\MyIISServices\mantis\core\bug_api.php on line 948
[17-Mar-2014 12:08:30 Europe/Moscow] PHP Fatal error:  Cannot redeclare bug_is_overdue_get_class() (previously declared in C:\MyIISServices\mantis\core\bug_api.php:878) in C:\MyIISServices\mantis\core\bug_api.php on line 948
[17-Mar-2014 12:11:58 Europe/Moscow] PHP Fatal error:  Cannot redeclare bug_is_overdue_get_class() (previously declared in C:\MyIISServices\mantis\core\bug_api.php:878) in C:\MyIISServices\mantis\core\bug_api.php on line 948
[17-Mar-2014 13:01:22 Europe/Moscow] PHP Fatal error:  Cannot redeclare bug_is_overdue_get_class() (previously declared in C:\MyIISServices\mantis\core\bug_api.php:878) in C:\MyIISServices\mantis\core\bug_api.php on line 948
[18-Mar-2014 14:24:30 Europe/Moscow] PHP Fatal error:  Call to undefined function imagecreate() in C:\MyIISServices\mantis\plugins\MantisGraph\core\graph_api.php on line 916
[31-Mar-2014 14:31:26 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required 'jpgraph.php' (include_path='C:\MyIISServices\mantis\core\;C:\MyIISServices\mantis\library;.;C:\php\pear;C:\MyIISServices\mantis\plugins\MantisGraph\core\;c:\MyIISServices\mantis\my_add') in C:\MyIISServices\mantis\plugins\MantisGraph\core\graph_api.php on line 35
[31-Mar-2014 14:32:15 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required 'jpgraph.php' (include_path='C:\MyIISServices\mantis\core\;C:\MyIISServices\mantis\library;.;C:\php\pear;C:\MyIISServices\mantis\plugins\MantisGraph\core\;c:\MyIISServices\mantis\my_add\') in C:\MyIISServices\mantis\plugins\MantisGraph\core\graph_api.php on line 35
[02-Apr-2014 13:00:08 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\CubeObjectPower.php on line 61
[02-Apr-2014 13:00:30 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\CubeObjectPower.php on line 61
[02-Apr-2014 13:09:57 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\CubeObjectPower.php on line 65
[02-Apr-2014 13:10:05 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\CubeObjectPower.php on line 65
[02-Apr-2014 15:32:29 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required 'pages/api.php' (include_path='C:\MyIISServices\mantis\core\;C:\MyIISServices\mantis\library;.;C:\php\pear;C:\MyIISServices\mantis\plugins\MantisGraph\core\') in C:\MyIISServices\mantis\plugins\CubeObjectPower\CubeObjectPower.php on line 3
[02-Apr-2014 16:09:42 Europe/Moscow] PHP Fatal error:  Cannot redeclare class ReminderPlugin in C:\MyIISServices\mantis\plugins\CubeObjectPower\CubeObjectPower.php on line 52
[02-Apr-2014 16:10:02 Europe/Moscow] PHP Fatal error:  Cannot redeclare class ReminderPlugin in C:\MyIISServices\mantis\plugins\CubeObjectPower\CubeObjectPower.php on line 52
[02-Apr-2014 16:10:29 Europe/Moscow] PHP Fatal error:  Cannot redeclare class ReminderPlugin in C:\MyIISServices\mantis\plugins\CubeObjectPower\CubeObjectPower.php on line 52
[02-Apr-2014 16:12:13 Europe/Moscow] PHP Fatal error:  Cannot redeclare class ReminderPlugin in C:\MyIISServices\mantis\plugins\CubeObjectPower\CubeObjectPower.php on line 52
[03-Apr-2014 14:11:14 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required 'rpcl/rpcl.inc.php' (include_path='C:\MyIISServices\mantis\core\;C:\MyIISServices\mantis\library;.;C:\php\pear;C:\MyIISServices\mantis\plugins\MantisGraph\core\') in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_main.php on line 2
[03-Apr-2014 14:41:23 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required 'rpcl/rpcl.inc.php' (include_path='C:\MyIISServices\mantis\core\;C:\MyIISServices\mantis\library;.;C:\php\pear;C:\MyIISServices\mantis\plugins\MantisGraph\core\') in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_main.php on line 2
[03-Apr-2014 14:41:44 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required 'rpcl/rpcl.inc.php' (include_path='C:\MyIISServices\mantis\core\;C:\MyIISServices\mantis\library;.;C:\php\pear;C:\MyIISServices\mantis\plugins\MantisGraph\core\') in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_main.php on line 2
[08-Apr-2014 09:34:11 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required 'rpcl/rpcl.inc.php' (include_path='C:\MyIISServices\mantis\core\;C:\MyIISServices\mantis\library;.;C:\php\pear;C:\MyIISServices\mantis\plugins\MantisGraph\core\') in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\rpcl\jquery\jquery.inc.php on line 26
